product_id,image_path,category,product_name
backpack_0_1771054472729,data/images\backpack_0_1771054472729.jpg,backpack,backpack_0_1771054472729
backpack_10_1771054475342,data/images\backpack_10_1771054475342.jpg,backpack,backpack_10_1771054475342
backpack_11_1771054475787,data/images\backpack_11_1771054475787.jpg,backpack,backpack_11_1771054475787
backpack_12_1771054475998,data/images\backpack_12_1771054475998.jpg,backpack,backpack_12_1771054475998
backpack_13_1771054476098,data/images\backpack_13_1771054476098.jpg,backpack,backpack_13_1771054476098
backpack_14_1771054476331,data/images\backpack_14_1771054476331.jpg,backpack,backpack_14_1771054476331
backpack_15_1771054476730,data/images\backpack_15_1771054476730.jpg,backpack,backpack_15_1771054476730
backpack_16_1771054477120,data/images\backpack_16_1771054477120.jpg,backpack,backpack_16_1771054477120
backpack_17_1771054477015,data/images\backpack_17_1771054477015.jpg,backpack,backpack_17_1771054477015
backpack_18_1771054477145,data/images\backpack_18_1771054477145.jpg,backpack,backpack_18_1771054477145
backpack_19_1771054477802,data/images\backpack_19_1771054477802.jpg,backpack,backpack_19_1771054477802
backpack_1_1771054472745,data/images\backpack_1_1771054472745.jpg,backpack,backpack_1_1771054472745
backpack_20_1771054477848,data/images\backpack_20_1771054477848.jpg,backpack,backpack_20_1771054477848
backpack_21_1771054478367,data/images\backpack_21_1771054478367.jpg,backpack,backpack_21_1771054478367
backpack_22_1771054478552,data/images\backpack_22_1771054478552.jpg,backpack,backpack_22_1771054478552
backpack_23_1771054478552,data/images\backpack_23_1771054478552.jpg,backpack,backpack_23_1771054478552
backpack_24_1771054479263,data/images\backpack_24_1771054479263.jpg,backpack,backpack_24_1771054479263
backpack_25_1771054479368,data/images\backpack_25_1771054479368.jpg,backpack,backpack_25_1771054479368
backpack_26_1771054479835,data/images\backpack_26_1771054479835.jpg,backpack,backpack_26_1771054479835
backpack_27_1771054479965,data/images\backpack_27_1771054479965.jpg,backpack,backpack_27_1771054479965
backpack_28_1771054479966,data/images\backpack_28_1771054479966.jpg,backpack,backpack_28_1771054479966
backpack_29_1771054480611,data/images\backpack_29_1771054480611.jpg,backpack,backpack_29_1771054480611
backpack_2_1771054473191,data/images\backpack_2_1771054473191.jpg,backpack,backpack_2_1771054473191
backpack_30_1771054480710,data/images\backpack_30_1771054480710.jpg,backpack,backpack_30_1771054480710
backpack_31_1771054481289,data/images\backpack_31_1771054481289.jpg,backpack,backpack_31_1771054481289
backpack_32_1771054481427,data/images\backpack_32_1771054481427.jpg,backpack,backpack_32_1771054481427
backpack_33_1771054481174,data/images\backpack_33_1771054481174.jpg,backpack,backpack_33_1771054481174
backpack_34_1771054482094,data/images\backpack_34_1771054482094.jpg,backpack,backpack_34_1771054482094
backpack_35_1771054481879,data/images\backpack_35_1771054481879.jpg,backpack,backpack_35_1771054481879
backpack_36_1771054482277,data/images\backpack_36_1771054482277.jpg,backpack,backpack_36_1771054482277
backpack_37_1771054482336,data/images\backpack_37_1771054482336.jpg,backpack,backpack_37_1771054482336
backpack_38_1771054482451,data/images\backpack_38_1771054482451.jpg,backpack,backpack_38_1771054482451
backpack_39_1771054483203,data/images\backpack_39_1771054483203.jpg,backpack,backpack_39_1771054483203
backpack_3_1771054473290,data/images\backpack_3_1771054473290.jpg,backpack,backpack_3_1771054473290
backpack_40_1771054483062,data/images\backpack_40_1771054483062.jpg,backpack,backpack_40_1771054483062
backpack_41_1771054483273,data/images\backpack_41_1771054483273.jpg,backpack,backpack_41_1771054483273
backpack_42_1771054483649,data/images\backpack_42_1771054483649.jpg,backpack,backpack_42_1771054483649
backpack_43_1771054483432,data/images\backpack_43_1771054483432.jpg,backpack,backpack_43_1771054483432
backpack_44_1771054484398,data/images\backpack_44_1771054484398.jpg,backpack,backpack_44_1771054484398
backpack_45_1771054484478,data/images\backpack_45_1771054484478.jpg,backpack,backpack_45_1771054484478
backpack_46_1771054484240,data/images\backpack_46_1771054484240.jpg,backpack,backpack_46_1771054484240
backpack_47_1771054484560,data/images\backpack_47_1771054484560.jpg,backpack,backpack_47_1771054484560
backpack_48_1771054484967,data/images\backpack_48_1771054484967.jpg,backpack,backpack_48_1771054484967
backpack_49_1771054485221,data/images\backpack_49_1771054485221.jpg,backpack,backpack_49_1771054485221
backpack_4_1771054473950,data/images\backpack_4_1771054473950.jpg,backpack,backpack_4_1771054473950
backpack_5_1771054473869,data/images\backpack_5_1771054473869.jpg,backpack,backpack_5_1771054473869
backpack_6_1771054474160,data/images\backpack_6_1771054474160.jpg,backpack,backpack_6_1771054474160
backpack_7_1771054474728,data/images\backpack_7_1771054474728.jpg,backpack,backpack_7_1771054474728
backpack_8_1771054474758,data/images\backpack_8_1771054474758.jpg,backpack,backpack_8_1771054474758
backpack_9_1771054475334,data/images\backpack_9_1771054475334.jpg,backpack,backpack_9_1771054475334
bottle_0_1771054550088,data/images\bottle_0_1771054550088.jpg,bottle,bottle_0_1771054550088
bottle_10_1771054552050,data/images\bottle_10_1771054552050.jpg,bottle,bottle_10_1771054552050
bottle_11_1771054552857,data/images\bottle_11_1771054552857.jpg,bottle,bottle_11_1771054552857
bottle_12_1771054552956,data/images\bottle_12_1771054552956.jpg,bottle,bottle_12_1771054552956
bottle_13_1771054553064,data/images\bottle_13_1771054553064.jpg,bottle,bottle_13_1771054553064
bottle_14_1771054553184,data/images\bottle_14_1771054553184.jpg,bottle,bottle_14_1771054553184
bottle_15_1771054553057,data/images\bottle_15_1771054553057.jpg,bottle,bottle_15_1771054553057
bottle_16_1771054554184,data/images\bottle_16_1771054554184.jpg,bottle,bottle_16_1771054554184
bottle_17_1771054554359,data/images\bottle_17_1771054554359.jpg,bottle,bottle_17_1771054554359
bottle_18_1771054554359,data/images\bottle_18_1771054554359.jpg,bottle,bottle_18_1771054554359
bottle_19_1771054554073,data/images\bottle_19_1771054554073.jpg,bottle,bottle_19_1771054554073
bottle_1_1771054550574,data/images\bottle_1_1771054550574.jpg,bottle,bottle_1_1771054550574
bottle_20_1771054554371,data/images\bottle_20_1771054554371.jpg,bottle,bottle_20_1771054554371
bottle_21_1771054555450,data/images\bottle_21_1771054555450.jpg,bottle,bottle_21_1771054555450
bottle_22_1771054555047,data/images\bottle_22_1771054555047.jpg,bottle,bottle_22_1771054555047
bottle_23_1771054555273,data/images\bottle_23_1771054555273.jpg,bottle,bottle_23_1771054555273
bottle_24_1771054555767,data/images\bottle_24_1771054555767.jpg,bottle,bottle_24_1771054555767
bottle_25_1771054555774,data/images\bottle_25_1771054555774.jpg,bottle,bottle_25_1771054555774
bottle_26_1771054555963,data/images\bottle_26_1771054555963.jpg,bottle,bottle_26_1771054555963
bottle_27_1771054556349,data/images\bottle_27_1771054556349.jpg,bottle,bottle_27_1771054556349
bottle_28_1771054556807,data/images\bottle_28_1771054556807.jpg,bottle,bottle_28_1771054556807
bottle_29_1771054556607,data/images\bottle_29_1771054556607.jpg,bottle,bottle_29_1771054556607
bottle_2_1771054550325,data/images\bottle_2_1771054550325.jpg,bottle,bottle_2_1771054550325
bottle_30_1771054556979,data/images\bottle_30_1771054556979.jpg,bottle,bottle_30_1771054556979
bottle_31_1771054557430,data/images\bottle_31_1771054557430.jpg,bottle,bottle_31_1771054557430
bottle_32_1771054558002,data/images\bottle_32_1771054558002.jpg,bottle,bottle_32_1771054558002
bottle_33_1771054557357,data/images\bottle_33_1771054557357.jpg,bottle,bottle_33_1771054557357
bottle_34_1771054558452,data/images\bottle_34_1771054558452.jpg,bottle,bottle_34_1771054558452
bottle_35_1771054558252,data/images\bottle_35_1771054558252.jpg,bottle,bottle_35_1771054558252
bottle_36_1771054558674,data/images\bottle_36_1771054558674.jpg,bottle,bottle_36_1771054558674
bottle_37_1771054559029,data/images\bottle_37_1771054559029.jpg,bottle,bottle_37_1771054559029
bottle_38_1771054559281,data/images\bottle_38_1771054559281.jpg,bottle,bottle_38_1771054559281
bottle_39_1771054559665,data/images\bottle_39_1771054559665.jpg,bottle,bottle_39_1771054559665
bottle_3_1771054550781,data/images\bottle_3_1771054550781.jpg,bottle,bottle_3_1771054550781
bottle_40_1771054559695,data/images\bottle_40_1771054559695.jpg,bottle,bottle_40_1771054559695
bottle_41_1771054559614,data/images\bottle_41_1771054559614.jpg,bottle,bottle_41_1771054559614
bottle_42_1771054560236,data/images\bottle_42_1771054560236.jpg,bottle,bottle_42_1771054560236
bottle_43_1771054560052,data/images\bottle_43_1771054560052.jpg,bottle,bottle_43_1771054560052
bottle_44_1771054560569,data/images\bottle_44_1771054560569.jpg,bottle,bottle_44_1771054560569
bottle_45_1771054560994,data/images\bottle_45_1771054560994.jpg,bottle,bottle_45_1771054560994
bottle_46_1771054561217,data/images\bottle_46_1771054561217.jpg,bottle,bottle_46_1771054561217
bottle_47_1771054561509,data/images\bottle_47_1771054561509.jpg,bottle,bottle_47_1771054561509
bottle_48_1771054561155,data/images\bottle_48_1771054561155.jpg,bottle,bottle_48_1771054561155
bottle_49_1771054561463,data/images\bottle_49_1771054561463.jpg,bottle,bottle_49_1771054561463
bottle_4_1771054550728,data/images\bottle_4_1771054550728.jpg,bottle,bottle_4_1771054550728
bottle_5_1771054551072,data/images\bottle_5_1771054551072.jpg,bottle,bottle_5_1771054551072
bottle_6_1771054551459,data/images\bottle_6_1771054551459.jpg,bottle,bottle_6_1771054551459
bottle_7_1771054551682,data/images\bottle_7_1771054551682.jpg,bottle,bottle_7_1771054551682
bottle_8_1771054551552,data/images\bottle_8_1771054551552.jpg,bottle,bottle_8_1771054551552
bottle_9_1771054551985,data/images\bottle_9_1771054551985.jpg,bottle,bottle_9_1771054551985
chair_0_1771054524615,data/images\chair_0_1771054524615.jpg,chair,chair_0_1771054524615
chair_10_1771054526994,data/images\chair_10_1771054526994.jpg,chair,chair_10_1771054526994
chair_11_1771054526959,data/images\chair_11_1771054526959.jpg,chair,chair_11_1771054526959
chair_12_1771054527400,data/images\chair_12_1771054527400.jpg,chair,chair_12_1771054527400
chair_13_1771054527832,data/images\chair_13_1771054527832.jpg,chair,chair_13_1771054527832
chair_14_1771054527817,data/images\chair_14_1771054527817.jpg,chair,chair_14_1771054527817
chair_15_1771054528402,data/images\chair_15_1771054528402.jpg,chair,chair_15_1771054528402
chair_16_1771054528430,data/images\chair_16_1771054528430.jpg,chair,chair_16_1771054528430
chair_17_1771054528329,data/images\chair_17_1771054528329.jpg,chair,chair_17_1771054528329
chair_18_1771054529255,data/images\chair_18_1771054529255.jpg,chair,chair_18_1771054529255
chair_19_1771054528927,data/images\chair_19_1771054528927.jpg,chair,chair_19_1771054528927
chair_1_1771054524597,data/images\chair_1_1771054524597.jpg,chair,chair_1_1771054524597
chair_20_1771054529273,data/images\chair_20_1771054529273.jpg,chair,chair_20_1771054529273
chair_21_1771054529185,data/images\chair_21_1771054529185.jpg,chair,chair_21_1771054529185
chair_22_1771054529829,data/images\chair_22_1771054529829.jpg,chair,chair_22_1771054529829
chair_23_1771054529848,data/images\chair_23_1771054529848.jpg,chair,chair_23_1771054529848
chair_24_1771054530067,data/images\chair_24_1771054530067.jpg,chair,chair_24_1771054530067
chair_25_1771054530050,data/images\chair_25_1771054530050.jpg,chair,chair_25_1771054530050
